epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1081.93,0.6444,0.98864,0.60569,0.0057,0.1376,0.72392,0.59613,0.61617,0.53257,0.72252,0.59484,0.61452,0.4805,0.59651,0.9986,0.77048,0.0092,0,0.000274212,0.000274212,0.000274212
29,1120.4,0.63992,0.98311,0.62159,0.00566,0.14551,0.69371,0.67324,0.67044,0.57838,0.69284,0.6724,0.66771,0.51553,0.59516,0.974,0.70433,0.00931,0,0.000269553,0.000269553,0.000269553
30,1158.76,0.63618,0.9719,0.59464,0.00562,0.14244,0.78206,0.65741,0.65269,0.55592,0.78112,0.65661,0.65088,0.51578,0.60525,0.99564,0.79727,0.00951,0,0.000264894,0.000264894,0.000264894
31,1196.93,0.63591,0.98976,0.60214,0.00552,0.13635,0.62523,0.60794,0.63887,0.55036,0.62482,0.60752,0.63705,0.50933,0.60103,1.02341,0.75034,0.00945,0,0.000260235,0.000260235,0.000260235
32,1235.23,0.64155,0.98828,0.58447,0.00555,0.13552,0.65844,0.67974,0.67161,0.57625,0.65768,0.6789,0.66985,0.52731,0.60256,0.9926,0.73561,0.00928,0,0.000255576,0.000255576,0.000255576
33,1273.37,0.63055,0.98437,0.57008,0.00546,0.13249,0.70715,0.58897,0.64751,0.54815,0.70641,0.58834,0.64636,0.50088,0.59147,0.99432,0.74211,0.00911,0,0.000250918,0.000250918,0.000250918
34,1311.88,0.627,0.96755,0.56472,0.00549,0.12985,0.63323,0.66048,0.6362,0.55271,0.63263,0.65985,0.63576,0.49966,0.58759,0.99056,0.72938,0.00905,0,0.000246259,0.000246259,0.000246259
35,1350.14,0.61673,0.95427,0.53818,0.00536,0.12545,0.61336,0.67426,0.65074,0.56511,0.61255,0.67342,0.6485,0.51129,0.59364,1.05105,0.78097,0.00919,0,0.0002416,0.0002416,0.0002416
36,1388.98,0.61951,0.95223,0.54979,0.0054,0.12415,0.67773,0.66806,0.65198,0.56196,0.67669,0.66696,0.64518,0.51614,0.58681,1.05534,0.72227,0.0091,0,0.000236941,0.000236941,0.000236941
37,1427.52,0.62279,0.94915,0.5344,0.00534,0.12261,0.68046,0.6456,0.65993,0.56665,0.67783,0.64371,0.65764,0.5134,0.58489,1.0094,0.73561,0.00898,0,0.000232282,0.000232282,0.000232282
