epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
24,713.823,0.93758,2.00323,0.93847,1.19525,0,0.6331,0.44161,0.43926,0.3374,0.5947,0.42485,0.41001,0.25556,1.05604,2.24405,1.16931,1.32774,0,0.00033928,0.00033928,0.00033928
25,742.888,0.93051,1.99726,0.92769,1.18411,0,0.60192,0.44371,0.46077,0.36521,0.58554,0.41994,0.42766,0.26705,1.03994,2.30558,1.14875,1.32171,0,0.00033664,0.00033664,0.00033664
26,772.457,0.93713,1.98325,0.9174,1.19197,0,0.69361,0.40821,0.45386,0.3607,0.68243,0.3927,0.41582,0.26831,1.048,2.21675,1.12697,1.33288,0,0.000334,0.000334,0.000334
27,801.69,0.92755,1.9911,0.90701,1.18084,0,0.64174,0.44411,0.45009,0.35853,0.63629,0.42978,0.42362,0.27965,1.03735,2.24446,1.13855,1.31874,0,0.00033136,0.00033136,0.00033136
28,830.681,0.92739,1.98306,0.89583,1.17984,0,0.59905,0.4862,0.46199,0.36245,0.58718,0.46808,0.43684,0.28297,1.03773,2.22031,1.13518,1.31321,0,0.00032872,0.00032872,0.00032872
29,860.026,0.9203,1.96465,0.89279,1.17671,0,0.66232,0.45593,0.43425,0.33396,0.64769,0.43034,0.40496,0.25365,1.06829,2.23182,1.13271,1.35108,0,0.00032608,0.00032608,0.00032608
30,888.845,0.91754,1.9561,0.88354,1.17885,0,0.66209,0.45597,0.43719,0.33984,0.65125,0.4432,0.41239,0.27015,1.05144,2.26065,1.13651,1.33802,0,0.00032344,0.00032344,0.00032344
31,918.007,0.9124,1.9433,0.86815,1.17247,0,0.58555,0.48328,0.44994,0.35481,0.57068,0.46676,0.41813,0.26468,1.04318,2.24051,1.0968,1.32278,0,0.0003208,0.0003208,0.0003208
32,947.227,0.91394,1.95622,0.8807,1.17276,0,0.6441,0.45641,0.4605,0.35935,0.63199,0.43844,0.42416,0.2593,1.05907,2.30536,1.11672,1.34674,0,0.00031816,0.00031816,0.00031816
33,976.769,0.914,1.94969,0.85496,1.16753,0,0.70647,0.42064,0.44374,0.35092,0.71861,0.40881,0.41742,0.27572,1.02572,2.23082,1.11417,1.32042,0,0.00031552,0.00031552,0.00031552
34,1006.24,0.90527,1.9107,0.8546,1.16931,0,0.61843,0.47392,0.47822,0.36767,0.60358,0.45184,0.44792,0.28061,1.04572,2.26688,1.09823,1.33705,0,0.00031288,0.00031288,0.00031288
35,1035.64,0.90068,1.91457,0.84868,1.17151,0,0.54677,0.48592,0.44175,0.34236,0.52989,0.46521,0.41317,0.2577,1.04506,2.26587,1.11644,1.33849,0,0.00031024,0.00031024,0.00031024
36,1064.77,0.89769,1.88732,0.83537,1.1634,0,0.59319,0.46189,0.44711,0.34295,0.57835,0.4426,0.41448,0.2697,1.0413,2.29876,1.12665,1.32468,0,0.0003076,0.0003076,0.0003076
37,1094.11,0.89512,1.89828,0.8162,1.15746,0,0.6861,0.42357,0.44465,0.34493,0.66507,0.40888,0.41663,0.27229,1.04751,2.23993,1.12967,1.33852,0,0.00030496,0.00030496,0.00030496
38,1123.34,0.89621,1.90325,0.84117,1.16984,0,0.60389,0.49534,0.47245,0.37122,0.58222,0.47373,0.43916,0.28528,1.05069,2.32123,1.09143,1.32837,0,0.00030232,0.00030232,0.00030232
39,1152.48,0.87756,1.89635,0.80709,1.15247,0,0.63994,0.45564,0.45606,0.35458,0.61953,0.43343,0.42378,0.27452,1.05796,2.41458,1.11013,1.34085,0,0.00029968,0.00029968,0.00029968
40,1181.73,0.87232,1.85131,0.80588,1.15425,0,0.57638,0.47132,0.46272,0.3634,0.55488,0.45089,0.43214,0.27944,1.04872,2.32267,1.0964,1.34597,0,0.00029704,0.00029704,0.00029704
41,1210.73,0.8851,1.86501,0.79279,1.15682,0,0.5305,0.48034,0.47075,0.36756,0.51578,0.46338,0.44208,0.29407,1.0349,2.32932,1.0642,1.32926,0,0.0002944,0.0002944,0.0002944
42,1239.78,0.88383,1.84533,0.80711,1.15507,0,0.63913,0.47055,0.45347,0.35254,0.6424,0.43308,0.42177,0.27694,1.02832,2.30323,1.10124,1.32351,0,0.00029176,0.00029176,0.00029176
43,1269.01,0.87922,1.85646,0.7835,1.15426,0,0.59526,0.47855,0.4414,0.34004,0.57926,0.46255,0.41467,0.25741,1.03486,2.3458,1.06653,1.32926,0,0.00028912,0.00028912,0.00028912
44,1298.08,0.87884,1.84756,0.77133,1.15141,0,0.63598,0.48463,0.47723,0.36498,0.6226,0.46981,0.44866,0.28092,1.05215,2.29455,1.08547,1.34858,0,0.00028648,0.00028648,0.00028648
45,1327.1,0.87493,1.83344,0.77931,1.14391,0,0.61714,0.49173,0.48134,0.37496,0.60369,0.47146,0.44519,0.28581,1.03087,2.28064,1.06571,1.32743,0,0.00028384,0.00028384,0.00028384
46,1356.26,0.86972,1.85534,0.76485,1.14734,0,0.56563,0.45468,0.46339,0.35885,0.54952,0.43717,0.43562,0.28275,1.04356,2.31265,1.0729,1.34066,0,0.0002812,0.0002812,0.0002812
47,1385.24,0.8677,1.82807,0.76583,1.1477,0,0.64328,0.46875,0.4651,0.36279,0.63128,0.45401,0.43898,0.28017,1.04134,2.29013,1.0757,1.33322,0,0.00027856,0.00027856,0.00027856
48,1414.28,0.86727,1.82542,0.76692,1.14495,0,0.64094,0.47524,0.48017,0.37299,0.62515,0.46043,0.45278,0.28166,1.056,2.34001,1.058,1.35475,0,0.00027592,0.00027592,0.00027592
49,1443.38,0.86001,1.82385,0.75115,1.1367,0,0.64988,0.50682,0.49297,0.38255,0.61908,0.47699,0.44818,0.29179,1.05613,2.27328,1.03943,1.35731,0,0.00027328,0.00027328,0.00027328
50,1472.49,0.86322,1.81912,0.75111,1.14692,0,0.62339,0.49875,0.46621,0.35935,0.60895,0.47922,0.43375,0.27848,1.05695,2.31299,1.05694,1.35962,0,0.00027064,0.00027064,0.00027064
51,1501.59,0.85523,1.7991,0.74074,1.14,0,0.62089,0.49714,0.46633,0.36932,0.59965,0.47287,0.42719,0.27388,1.05506,2.34152,1.06409,1.35821,0,0.000268,0.000268,0.000268
52,1530.57,0.85715,1.79013,0.73553,1.14165,0,0.56807,0.45439,0.46612,0.36565,0.55224,0.43683,0.4358,0.28454,1.04546,2.33282,1.07632,1.35091,0,0.00026536,0.00026536,0.00026536
53,1559.6,0.85091,1.81633,0.73153,1.13515,0,0.65318,0.49853,0.48578,0.37336,0.63466,0.47862,0.45437,0.2972,1.05697,2.3806,1.02531,1.36337,0,0.00026272,0.00026272,0.00026272
54,1588.66,0.8471,1.78381,0.72852,1.13175,0,0.54374,0.49153,0.46837,0.36578,0.5269,0.47221,0.43805,0.29133,1.05512,2.35645,1.07895,1.36467,0,0.00026008,0.00026008,0.00026008
55,1617.55,0.85058,1.77754,0.72734,1.13861,0,0.63575,0.47915,0.47638,0.37668,0.62098,0.46155,0.44469,0.29262,1.05908,2.32043,1.06234,1.36003,0,0.00025744,0.00025744,0.00025744
56,1646.65,0.83958,1.76891,0.71671,1.12811,0,0.56932,0.47968,0.46608,0.35974,0.5505,0.46156,0.4365,0.27901,1.06076,2.37534,1.05193,1.36432,0,0.0002548,0.0002548,0.0002548
57,1675.61,0.83031,1.76626,0.69867,1.12464,0,0.62573,0.49681,0.47895,0.37797,0.608,0.4794,0.44939,0.28649,1.05405,2.37307,1.04444,1.36203,0,0.00025216,0.00025216,0.00025216
58,1704.62,0.83256,1.75553,0.69718,1.12845,0,0.62869,0.47761,0.47442,0.3796,0.61418,0.46218,0.44569,0.2941,1.04276,2.36586,1.03416,1.34834,0,0.00024952,0.00024952,0.00024952
59,1733.63,0.84076,1.76713,0.70946,1.12917,0,0.61469,0.49887,0.46444,0.36873,0.60109,0.48409,0.43663,0.28605,1.04189,2.345,1.06542,1.34765,0,0.00024688,0.00024688,0.00024688
60,1762.64,0.83493,1.74839,0.69869,1.12117,0,0.62227,0.51666,0.4873,0.38339,0.60732,0.49622,0.45566,0.30256,1.05242,2.37184,1.04796,1.3673,0,0.00024424,0.00024424,0.00024424
61,1791.66,0.83507,1.74553,0.6913,1.12448,0,0.56302,0.4977,0.47158,0.37409,0.53981,0.47978,0.44131,0.28436,1.04398,2.39926,1.03558,1.34819,0,0.0002416,0.0002416,0.0002416
62,1820.85,0.81963,1.73153,0.69123,1.11757,0,0.6357,0.49444,0.46184,0.36148,0.62111,0.47497,0.43343,0.27801,1.05106,2.32513,1.04434,1.35575,0,0.00023896,0.00023896,0.00023896
63,1849.85,0.83826,1.73707,0.6864,1.12022,0,0.64217,0.46958,0.46984,0.36877,0.6224,0.45287,0.4386,0.2811,1.03084,2.43549,1.03731,1.34805,0,0.00023632,0.00023632,0.00023632
64,1878.83,0.81905,1.70092,0.67433,1.11258,0,0.64813,0.49546,0.48335,0.38335,0.64906,0.46943,0.45252,0.2896,1.05172,2.47332,1.05206,1.37034,0,0.00023368,0.00023368,0.00023368
65,1907.83,0.82405,1.71616,0.68256,1.12158,0,0.67134,0.47648,0.49036,0.3883,0.64824,0.45784,0.45821,0.30192,1.05573,2.41171,1.07165,1.36111,0,0.00023104,0.00023104,0.00023104
66,1936.94,0.81813,1.73502,0.66954,1.11263,0,0.65331,0.47338,0.47447,0.37156,0.63563,0.45467,0.44225,0.29069,1.0467,2.41897,1.03773,1.35185,0,0.0002284,0.0002284,0.0002284
67,1965.91,0.82281,1.70958,0.67214,1.11031,0,0.63305,0.47258,0.47182,0.36883,0.61808,0.45423,0.44219,0.29374,1.0477,2.41112,1.07492,1.34636,0,0.00022576,0.00022576,0.00022576
68,1994.97,0.82256,1.70823,0.66642,1.11615,0,0.55595,0.50947,0.47769,0.3734,0.53555,0.48987,0.44517,0.28481,1.0587,2.47433,1.03704,1.38554,0,0.00022312,0.00022312,0.00022312
69,2023.87,0.81019,1.70535,0.66016,1.10274,0,0.66181,0.46711,0.47289,0.36525,0.65428,0.44685,0.44375,0.28027,1.0526,2.40184,1.03632,1.37097,0,0.00022048,0.00022048,0.00022048
70,2052.97,0.81259,1.69709,0.65726,1.11325,0,0.64285,0.46991,0.47119,0.36556,0.55345,0.45652,0.43835,0.28836,1.06031,2.47176,1.07684,1.37687,0,0.00021784,0.00021784,0.00021784
71,2082.09,0.80471,1.68697,0.65266,1.10607,0,0.6899,0.47589,0.48928,0.3788,0.67544,0.4629,0.46203,0.29508,1.06362,2.36892,1.0297,1.38451,0,0.0002152,0.0002152,0.0002152
72,2111.06,0.80464,1.67295,0.64384,1.10087,0,0.63676,0.5048,0.47315,0.36622,0.62191,0.48499,0.4437,0.28628,1.05489,2.40758,1.04765,1.36833,0,0.00021256,0.00021256,0.00021256
73,2140.01,0.79924,1.67995,0.64441,1.10659,0,0.64706,0.47875,0.47663,0.36714,0.63039,0.46095,0.44767,0.28652,1.07362,2.43695,1.04016,1.38881,0,0.00020992,0.00020992,0.00020992
74,2169.04,0.80691,1.68824,0.64176,1.10993,0,0.648,0.509,0.49374,0.37078,0.63341,0.48707,0.46453,0.30497,1.05121,2.4239,1.02602,1.35965,0,0.00020728,0.00020728,0.00020728
75,2198.02,0.79936,1.66896,0.63587,1.10177,0,0.62762,0.4932,0.48261,0.3733,0.61651,0.47422,0.45276,0.29003,1.0514,2.52736,1.0419,1.36731,0,0.00020464,0.00020464,0.00020464
76,2226.96,0.79817,1.67584,0.63858,1.10501,0,0.5853,0.50703,0.48675,0.3859,0.56883,0.4926,0.45788,0.29863,1.04548,2.43302,1.02902,1.37434,0,0.000202,0.000202,0.000202
77,2256.15,0.798,1.65028,0.63267,1.0974,0,0.66953,0.46416,0.48603,0.38617,0.65597,0.45045,0.45692,0.29597,1.05304,2.47737,1.03084,1.38547,0,0.00019936,0.00019936,0.00019936
78,2285.11,0.79291,1.65577,0.63059,1.10268,0,0.6601,0.49352,0.48467,0.3863,0.63881,0.47367,0.45457,0.29029,1.04885,2.4518,1.02558,1.38313,0,0.00019672,0.00019672,0.00019672
79,2314.25,0.78511,1.65644,0.62133,1.09348,0,0.67074,0.50087,0.47704,0.37709,0.651,0.48468,0.44726,0.28724,1.04622,2.49368,1.04055,1.37051,0,0.00019408,0.00019408,0.00019408
80,2343.19,0.78488,1.65056,0.62017,1.09601,0,0.68403,0.46012,0.47534,0.37282,0.66509,0.44446,0.4473,0.28816,1.0481,2.47501,1.04381,1.37905,0,0.00019144,0.00019144,0.00019144
81,2372.15,0.78897,1.63869,0.62309,1.09914,0,0.68429,0.48808,0.49257,0.3861,0.65945,0.47561,0.46359,0.29712,1.06392,2.511,1.02869,1.39591,0,0.0001888,0.0001888,0.0001888
82,2401.19,0.78644,1.6397,0.61436,1.09519,0,0.66271,0.50095,0.4877,0.38222,0.64367,0.48228,0.45575,0.30058,1.03961,2.48872,1.03903,1.36622,0,0.00018616,0.00018616,0.00018616
83,2430.3,0.778,1.62041,0.6084,1.09185,0,0.68555,0.47798,0.48685,0.38186,0.66922,0.46786,0.4602,0.30105,1.04736,2.49705,1.03639,1.37355,0,0.00018352,0.00018352,0.00018352
84,2459.38,0.78233,1.62548,0.6115,1.09499,0,0.66593,0.50127,0.48218,0.37708,0.64193,0.48532,0.45024,0.29222,1.05434,2.50005,1.0175,1.38422,0,0.00018088,0.00018088,0.00018088
85,2488.5,0.77502,1.63438,0.59947,1.09157,0,0.65427,0.50448,0.4745,0.37325,0.63377,0.48738,0.44384,0.28393,1.04481,2.47461,1.04002,1.37416,0,0.00017824,0.00017824,0.00017824
86,2517.43,0.77827,1.60737,0.6034,1.08848,0,0.59419,0.49561,0.49124,0.38502,0.58093,0.47342,0.45927,0.2988,1.04214,2.49744,1.02517,1.37077,0,0.0001756,0.0001756,0.0001756
87,2546.45,0.77165,1.61089,0.59477,1.08383,0,0.65973,0.47493,0.46987,0.36799,0.62483,0.46175,0.43817,0.28573,1.04275,2.48667,1.033,1.37221,0,0.00017296,0.00017296,0.00017296
88,2575.47,0.7827,1.62523,0.61105,1.08939,0,0.67612,0.49854,0.48409,0.37923,0.65788,0.48251,0.45389,0.29504,1.04673,2.43155,1.02351,1.37409,0,0.00017032,0.00017032,0.00017032
89,2604.51,0.77805,1.61971,0.59625,1.08874,0,0.64782,0.49014,0.47956,0.37643,0.63509,0.47485,0.45096,0.29563,1.04336,2.5092,1.06369,1.37616,0,0.00016768,0.00016768,0.00016768
90,2633.47,0.76292,1.6128,0.59337,1.08676,0,0.63467,0.50965,0.48597,0.38442,0.65234,0.46937,0.45855,0.29007,1.05374,2.51112,1.02191,1.37931,0,0.00016504,0.00016504,0.00016504
91,2662.39,0.76734,1.62357,0.59089,1.08572,0,0.62797,0.49895,0.47955,0.3761,0.60893,0.48177,0.44786,0.28946,1.04948,2.49475,1.03435,1.38776,0,0.0001624,0.0001624,0.0001624
92,2691.67,0.77061,1.60546,0.59676,1.087,0,0.66862,0.4641,0.47868,0.37565,0.55933,0.47675,0.44844,0.28888,1.04341,2.49116,1.03642,1.37337,0,0.00015976,0.00015976,0.00015976
93,2720.65,0.76781,1.61508,0.59585,1.08834,0,0.6505,0.48522,0.47427,0.37141,0.63449,0.46913,0.44718,0.2916,1.03853,2.52911,1.03825,1.37906,0,0.00015712,0.00015712,0.00015712
94,2749.69,0.76671,1.58619,0.58647,1.0757,0,0.6753,0.47153,0.46991,0.36989,0.6583,0.45651,0.43915,0.28762,1.04519,2.58958,1.02921,1.39299,0,0.00015448,0.00015448,0.00015448
95,2778.96,0.76753,1.59944,0.58663,1.08246,0,0.64001,0.5057,0.47767,0.37442,0.62676,0.48701,0.44647,0.29028,1.05198,2.54493,1.00769,1.39875,0,0.00015184,0.00015184,0.00015184
96,2807.95,0.75464,1.58371,0.5812,1.07764,0,0.67277,0.49697,0.49123,0.39102,0.65307,0.47388,0.45961,0.3023,1.05054,2.55633,1.02404,1.39215,0,0.0001492,0.0001492,0.0001492
97,2837.17,0.75628,1.57424,0.57119,1.07011,0,0.67853,0.49737,0.48268,0.37998,0.66143,0.48229,0.45199,0.29289,1.03977,2.5634,1.00542,1.3833,0,0.00014656,0.00014656,0.00014656
98,2866.23,0.759,1.59044,0.57373,1.07776,0,0.66338,0.49554,0.48827,0.38761,0.65296,0.47485,0.4567,0.29901,1.05438,2.57265,1.03152,1.39022,0,0.00014392,0.00014392,0.00014392
99,2895.26,0.75997,1.56032,0.57673,1.0812,0,0.5962,0.5221,0.49015,0.39118,0.64668,0.49667,0.46038,0.30314,1.04419,2.50603,1.01398,1.38119,0,0.00014128,0.00014128,0.00014128
100,2924.36,0.74474,1.55609,0.573,1.06746,0,0.5985,0.51346,0.48556,0.38028,0.5788,0.49301,0.45363,0.29926,1.0414,2.59733,1.02703,1.38288,0,0.00013864,0.00013864,0.00013864
101,2953.43,0.75703,1.57931,0.57386,1.07807,0,0.60865,0.49641,0.4781,0.37323,0.58789,0.47877,0.44609,0.29316,1.04894,2.5846,1.03974,1.38818,0,0.000136,0.000136,0.000136
102,2982.51,0.74675,1.54106,0.55768,1.06962,0,0.6117,0.49687,0.48325,0.38492,0.59203,0.47962,0.45161,0.2974,1.04723,2.5757,1.02681,1.39652,0,0.00013336,0.00013336,0.00013336
103,3011.44,0.75211,1.57539,0.56415,1.0734,0,0.61418,0.49013,0.47291,0.37389,0.59959,0.4736,0.44137,0.28825,1.03391,2.53763,1.01064,1.37481,0,0.00013072,0.00013072,0.00013072
104,3040.47,0.75506,1.57769,0.56211,1.07301,0,0.58884,0.50179,0.48355,0.38123,0.57384,0.47555,0.45127,0.29736,1.04971,2.58867,1.01973,1.40266,0,0.00012808,0.00012808,0.00012808
105,3069.46,0.74308,1.56151,0.55994,1.07158,0,0.66518,0.50249,0.47707,0.37479,0.64947,0.48581,0.45081,0.29548,1.03758,2.57767,1.01837,1.39402,0,0.00012544,0.00012544,0.00012544
106,3098.55,0.72912,1.54006,0.54788,1.06478,0,0.61069,0.4869,0.47247,0.36658,0.58879,0.46877,0.44202,0.28826,1.05251,2.65857,1.01909,1.40887,0,0.0001228,0.0001228,0.0001228
107,3127.52,0.73373,1.53655,0.55147,1.06985,0,0.68932,0.48824,0.48428,0.38194,0.66453,0.47275,0.45516,0.29482,1.04933,2.60827,1.01814,1.39943,0,0.00012016,0.00012016,0.00012016
108,3156.59,0.73771,1.55649,0.55105,1.06805,0,0.67118,0.48402,0.48865,0.38556,0.65357,0.47062,0.4606,0.29683,1.04897,2.64855,1.02849,1.39394,0,0.00011752,0.00011752,0.00011752
109,3185.74,0.73996,1.54222,0.55091,1.06868,0,0.62079,0.48069,0.48823,0.38394,0.66805,0.46667,0.45831,0.30056,1.04717,2.63441,1.01293,1.40869,0,0.00011488,0.00011488,0.00011488
110,3214.72,0.72247,1.52254,0.54013,1.06165,0,0.57793,0.51077,0.48091,0.37738,0.55833,0.49075,0.44707,0.2946,1.04312,2.65509,1.02322,1.39389,0,0.00011224,0.00011224,0.00011224
111,3243.83,0.72636,1.51407,0.54246,1.06169,0,0.63949,0.4829,0.48964,0.38339,0.61878,0.46542,0.45772,0.298,1.05445,2.6658,1.02948,1.40836,0,0.0001096,0.0001096,0.0001096
112,3272.88,0.73049,1.54085,0.53941,1.06242,0,0.64662,0.5043,0.47605,0.37149,0.63212,0.48445,0.44483,0.2859,1.05365,2.5919,1.0411,1.4075,0,0.00010696,0.00010696,0.00010696
113,3301.95,0.73069,1.52983,0.54057,1.06245,0,0.65552,0.47936,0.47207,0.37183,0.6363,0.46188,0.44108,0.28288,1.06127,2.64008,1.04508,1.42488,0,0.00010432,0.00010432,0.00010432
114,3331.06,0.73092,1.54092,0.5415,1.06095,0,0.67095,0.49052,0.48692,0.38091,0.64701,0.47245,0.45508,0.29812,1.0584,2.63876,1.03379,1.41838,0,0.00010168,0.00010168,0.00010168
115,3360.15,0.72345,1.51448,0.53564,1.06073,0,0.58577,0.51164,0.47803,0.37249,0.56528,0.49226,0.44533,0.2923,1.04824,2.64041,1.02536,1.40237,0,9.904e-05,9.904e-05,9.904e-05
116,3389.15,0.72063,1.51232,0.53295,1.05506,0,0.59437,0.51631,0.48274,0.37215,0.57475,0.49765,0.45002,0.29227,1.05243,2.65397,1.01994,1.40968,0,9.64e-05,9.64e-05,9.64e-05
117,3418.15,0.72603,1.52489,0.5366,1.05681,0,0.6594,0.47714,0.48062,0.37965,0.64406,0.4605,0.45007,0.29465,1.04951,2.6558,1.01777,1.40886,0,9.376e-05,9.376e-05,9.376e-05
118,3447.45,0.72207,1.51077,0.53186,1.05828,0,0.68514,0.48055,0.48557,0.37726,0.67178,0.46071,0.45366,0.29417,1.04112,2.65655,1.01652,1.39728,0,9.112e-05,9.112e-05,9.112e-05
119,3476.47,0.71288,1.50694,0.5203,1.05282,0,0.56147,0.51928,0.47491,0.37213,0.54258,0.50017,0.4431,0.28872,1.05009,2.68283,1.02297,1.40882,0,8.848e-05,8.848e-05,8.848e-05
120,3505.54,0.71517,1.48226,0.52934,1.0539,0,0.5921,0.50459,0.48323,0.3781,0.56858,0.48558,0.45135,0.29316,1.05366,2.69712,1.02131,1.41026,0,8.584e-05,8.584e-05,8.584e-05
121,3534.61,0.70975,1.48978,0.53063,1.05319,0,0.64083,0.5254,0.49161,0.38338,0.6223,0.50764,0.45832,0.29861,1.04654,2.68187,1.01429,1.40829,0,8.32e-05,8.32e-05,8.32e-05
122,3563.71,0.71893,1.51436,0.52456,1.05213,0,0.64631,0.50451,0.4828,0.37833,0.6304,0.4872,0.44996,0.28928,1.04593,2.64283,1.02782,1.41163,0,8.056e-05,8.056e-05,8.056e-05
123,3592.91,0.71376,1.48741,0.52096,1.05393,0,0.5978,0.51543,0.49013,0.38096,0.57659,0.49532,0.45641,0.29608,1.05167,2.70306,1.04056,1.41444,0,7.792e-05,7.792e-05,7.792e-05
124,3622.07,0.71147,1.5021,0.52079,1.05191,0,0.68375,0.50769,0.48806,0.38864,0.66637,0.48952,0.45534,0.29462,1.04204,2.69774,1.02229,1.41174,0,7.528e-05,7.528e-05,7.528e-05
125,3651.17,0.70982,1.50272,0.5192,1.05024,0,0.66598,0.51322,0.48871,0.38489,0.64962,0.49664,0.45819,0.29758,1.04167,2.67864,1.01352,1.40721,0,7.264e-05,7.264e-05,7.264e-05
