epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,45.375,1.38356,3.29777,3.7704,1.43373,0,0.89037,0.13347,0.13069,0.09416,0.87902,0.12642,0.11903,0.072,1.28451,2.66877,2.74126,1.46507,0,0.000132593,0.000132593,0.000132593
2,74.8355,1.22546,2.63752,2.25262,1.36145,0,0.61368,0.19867,0.18196,0.13334,0.60408,0.18562,0.1612,0.09164,1.19934,2.59519,2.12164,1.44388,0,0.000264171,0.000264171,0.000264171
3,104.246,1.17314,2.51466,1.86074,1.3408,0,0.3996,0.22915,0.18981,0.13311,0.45247,0.22244,0.17747,0.10687,1.27141,2.52491,2.1919,1.49429,0,0.000393989,0.000393989,0.000393989
4,133.136,1.14456,2.46276,1.69269,1.32946,0,0.60538,0.23798,0.24102,0.17657,0.58925,0.22152,0.21205,0.12835,1.1458,2.51328,1.89658,1.40757,0,0.00039208,0.00039208,0.00039208
5,162.13,1.10075,2.38051,1.5443,1.29687,0,0.51203,0.34128,0.28565,0.21146,0.653,0.26777,0.25673,0.14923,1.14611,2.42734,1.87153,1.40517,0,0.00038944,0.00038944,0.00038944
6,191.053,1.08766,2.31336,1.46625,1.28494,0,0.52182,0.35069,0.30234,0.22103,0.50839,0.33633,0.27914,0.17538,1.12652,2.37692,1.68786,1.38411,0,0.0003868,0.0003868,0.0003868
7,219.955,1.07821,2.32195,1.4086,1.28995,0,0.47325,0.33053,0.28516,0.2147,0.46227,0.31227,0.26325,0.16992,1.13316,2.35015,1.66875,1.39285,0,0.00038416,0.00038416,0.00038416
8,248.871,1.04453,2.27125,1.32909,1.26612,0,0.57868,0.36974,0.3653,0.27996,0.56862,0.36508,0.34311,0.21596,1.11466,2.37051,1.44711,1.36738,0,0.00038152,0.00038152,0.00038152
9,278.174,1.04978,2.26433,1.27808,1.26945,0,0.53255,0.40538,0.33873,0.25566,0.5183,0.38732,0.30822,0.19159,1.08264,2.34859,1.46552,1.34796,0,0.00037888,0.00037888,0.00037888
10,307.138,1.02131,2.21499,1.23436,1.2531,0,0.64204,0.35692,0.35621,0.26772,0.71005,0.31258,0.32997,0.19754,1.08313,2.31991,1.41104,1.35879,0,0.00037624,0.00037624,0.00037624
11,336.004,1.02514,2.19413,1.19966,1.24716,0,0.64202,0.40371,0.39766,0.30338,0.63366,0.39198,0.37142,0.20979,1.06207,2.29143,1.38668,1.34008,0,0.0003736,0.0003736,0.0003736
12,364.905,1.02193,2.20593,1.16781,1.24654,0,0.73646,0.38569,0.41724,0.31718,0.71396,0.37349,0.39209,0.24898,1.07932,2.25928,1.30909,1.34537,0,0.00037096,0.00037096,0.00037096
13,394.088,1.00637,2.16909,1.13897,1.23009,0,0.69529,0.36953,0.37644,0.28943,0.68303,0.35712,0.34956,0.22391,1.09422,2.26403,1.37807,1.36872,0,0.00036832,0.00036832,0.00036832
14,423.123,0.99331,2.13355,1.09629,1.22922,0,0.67821,0.40049,0.39911,0.30657,0.64678,0.38753,0.36792,0.23497,1.07793,2.36238,1.28911,1.36683,0,0.00036568,0.00036568,0.00036568
15,452.03,1.00188,2.18189,1.11139,1.23155,0,0.66882,0.39557,0.41727,0.31616,0.6611,0.38506,0.39285,0.24857,1.11898,2.31598,1.32378,1.35554,0,0.00036304,0.00036304,0.00036304
16,480.879,0.98305,2.10591,1.06634,1.2182,0,0.60756,0.47379,0.43121,0.33116,0.5789,0.456,0.39853,0.25033,1.05473,2.22662,1.20745,1.33979,0,0.0003604,0.0003604,0.0003604
17,509.794,0.98404,2.10136,1.0663,1.21669,0,0.48489,0.44995,0.37723,0.28954,0.41262,0.43522,0.35113,0.22327,1.07044,2.21202,1.24042,1.35494,0,0.00035776,0.00035776,0.00035776
18,538.942,0.98429,2.09978,1.04816,1.22264,0,0.68467,0.43462,0.43789,0.3348,0.6523,0.41631,0.402,0.25462,1.05645,2.18784,1.2381,1.33997,0,0.00035512,0.00035512,0.00035512
19,567.951,0.96228,2.07229,1.02105,1.21351,0,0.6031,0.42538,0.42291,0.32354,0.59025,0.41091,0.39801,0.25343,1.05772,2.24149,1.22797,1.33188,0,0.00035248,0.00035248,0.00035248
20,597.027,0.96613,2.07236,1.01527,1.2039,0,0.68023,0.44659,0.44569,0.34531,0.59763,0.43981,0.41668,0.27283,1.04874,2.30441,1.1783,1.31768,0,0.00034984,0.00034984,0.00034984
21,626.148,0.95534,2.02951,0.97906,1.19971,0,0.53141,0.45634,0.40083,0.31035,0.51477,0.43895,0.37418,0.2436,1.068,2.29463,1.20044,1.35108,0,0.0003472,0.0003472,0.0003472
22,655.344,0.9585,2.03508,0.97152,1.20333,0,0.62943,0.42455,0.43781,0.34019,0.61058,0.41135,0.40494,0.25222,1.06106,2.25795,1.19906,1.35611,0,0.00034456,0.00034456,0.00034456
23,684.585,0.93351,2.02519,0.95762,1.19106,0,0.70668,0.40596,0.43624,0.33769,0.71067,0.39121,0.40407,0.26806,1.0679,2.27334,1.18942,1.34254,0,0.00034192,0.00034192,0.00034192
